template_name,category,cash_flow_category,template_type,description,is_system,active,version,usage_count,last_used_at
Pendapatan Jasa Training,INCOME,OPERATING,SIMPLE,Mencatat pendapatan dari jasa training (non-PKP atau tanpa PPN),false,true,1,0,
Pendapatan Jasa Konsultasi,INCOME,OPERATING,SIMPLE,Mencatat pendapatan dari jasa konsultasi/development (non-PKP atau tanpa PPN),false,true,1,0,
Pendapatan Jasa + PPN,INCOME,OPERATING,SIMPLE,Pendapatan jasa dengan PPN Keluaran 11%. Amount = DPP + PPN,false,true,1,0,
Pendapatan Jasa + PPh 23 Dipotong,INCOME,OPERATING,SIMPLE,Pendapatan jasa yang dipotong PPh 23 (2%) oleh klien. Amount = nilai bruto,false,true,1,0,
Pendapatan Jasa + PPN + PPh 23,INCOME,OPERATING,SIMPLE,Pendapatan jasa PKP dengan PPN 11% dan dipotong PPh 23 (2% dari DPP). Amount = DPP + PPN,false,true,1,0,
Terima DP Proyek,RECEIPT,OPERATING,SIMPLE,Mencatat penerimaan uang muka (DP) dari klien,false,true,1,0,
Pengakuan Pendapatan Proyek,INCOME,OPERATING,SIMPLE,Mengakui pendapatan dari DP saat milestone selesai,false,true,1,0,
Terima Pelunasan Piutang,RECEIPT,OPERATING,SIMPLE,Mencatat penerimaan pembayaran dari klien,false,true,1,0,
Bayar Beban Gaji,EXPENSE,OPERATING,SIMPLE,Pembayaran gaji karyawan langsung,false,true,1,0,
Accrual Gaji Bulan Berjalan,EXPENSE,OPERATING,SIMPLE,Akrual gaji akhir bulan (belum dibayar),false,true,1,0,
Bayar BPJS,EXPENSE,OPERATING,DETAILED,Pembayaran BPJS Kesehatan dan Ketenagakerjaan,false,true,1,0,
Bayar Beban Cloud & Server,EXPENSE,OPERATING,SIMPLE,Pembayaran cloud/server (AWS/GCP/Azure),false,true,1,0,
Bayar Beban Software & Lisensi,EXPENSE,OPERATING,SIMPLE,Pembayaran software dan lisensi,false,true,1,0,
Bayar Beban Telekomunikasi,EXPENSE,OPERATING,SIMPLE,Pembayaran telepon dan internet,false,true,1,0,
Bayar Beban Listrik,EXPENSE,OPERATING,SIMPLE,Pembayaran listrik kantor,false,true,1,0,
Bayar Beban Sewa,EXPENSE,OPERATING,SIMPLE,Pembayaran sewa kantor,false,true,1,0,
Bayar Beban Operasional,EXPENSE,OPERATING,SIMPLE,Pembayaran beban operasional umum,false,true,1,0,
Pembelian dengan PPN,EXPENSE,OPERATING,SIMPLE,Pembelian barang/jasa dengan PPN Masukan 11%. Amount = DPP + PPN,false,true,1,0,
Pembayaran Jasa dengan PPh 23,EXPENSE,OPERATING,SIMPLE,Pembayaran jasa ke vendor dengan pemotongan PPh 23 (2%). Amount = nilai bruto,false,true,1,0,
Pembayaran Sewa dengan PPh 4(2),EXPENSE,OPERATING,SIMPLE,Pembayaran sewa tanah/bangunan dengan pemotongan PPh Final 4(2) 10%,false,true,1,0,
Karyawan Reimburse Pengeluaran,EXPENSE,OPERATING,SIMPLE,Karyawan bayar duluan perusahaan akan ganti,false,true,1,0,
Bayar Reimbursement ke Karyawan,PAYMENT,OPERATING,SIMPLE,Ganti biaya yang sudah dibayar karyawan,false,true,1,0,
Transfer Antar Bank,TRANSFER,OPERATING,SIMPLE,Transfer dana antar rekening bank,false,true,1,0,
Setoran Modal,RECEIPT,FINANCING,SIMPLE,Setoran modal dari pemilik,false,true,1,0,
Prive / Pengambilan Pribadi,PAYMENT,FINANCING,SIMPLE,Pengambilan dana oleh pemilik,false,true,1,0,
Beban Admin Bank,EXPENSE,OPERATING,SIMPLE,Potongan biaya administrasi bank,false,true,1,0,
Setor PPh 21,PAYMENT,OPERATING,SIMPLE,Penyetoran PPh 21 karyawan ke kas negara,false,true,1,0,
Setor PPh 23,PAYMENT,OPERATING,SIMPLE,Penyetoran PPh 23 yang telah dipotong ke kas negara,false,true,1,0,
Setor PPh 4(2),PAYMENT,OPERATING,SIMPLE,Penyetoran PPh 4(2) Final ke kas negara,false,true,1,0,
Setor PPN,PAYMENT,OPERATING,SIMPLE,Penyetoran selisih PPN (Keluaran - Masukan) ke kas negara,false,true,1,0,
Bayar PPh 25,EXPENSE,OPERATING,SIMPLE,Pembayaran angsuran PPh Badan bulanan,false,true,1,0,
Bayar PPh 29,EXPENSE,OPERATING,SIMPLE,Pembayaran PPh Badan tahunan akhir tahun,false,true,1,0,
Post Gaji Bulanan,EXPENSE,OPERATING,DETAILED,Posting payroll bulanan (hasil dari fitur payroll). Variabel: grossSalary companyBpjs netPay totalBpjs pph21,true,true,1,0,
Bayar Hutang Gaji,PAYMENT,OPERATING,SIMPLE,Pembayaran hutang gaji ke karyawan (transfer gaji bulanan),false,true,1,0,
Bayar Hutang BPJS,PAYMENT,OPERATING,SIMPLE,Penyetoran BPJS ke BPJS Kesehatan dan Ketenagakerjaan,false,true,1,0,
Pembelian Aset Tetap,EXPENSE,INVESTING,DETAILED,Pembelian aset tetap (komputer laptop peralatan). Variabel: assetCost,false,true,1,0,
Saldo Awal Tahun,TRANSFER,OPERATING,DETAILED,Input saldo awal neraca untuk memulai tahun buku baru,false,true,1,0,
Jurnal Manual,TRANSFER,OPERATING,SIMPLE,Template untuk jurnal manual. Pilih akun debit dan kredit saat membuat transaksi,false,true,1,0,
